id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vO3eurRE75,Bajank Creative,2 weeks ago,1559186096168,"Salam ✌️ periode,",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vO3lpMgHAE,Bajank Creative,2 weeks ago,1559186096169,"Semoga mbk najwa sehat selalu,  saya ngefans sama mbk",0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vP164LU25e,Dexriots Oioi,2 weeks ago,1559186096171,I love u mba nana :* bongkar terus kebodohan2 mereka wkwk,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vWCyJEaLHE,S Harto,2 weeks ago,1559186096172,01 MENANG GA NYAMPE 1TH AKA BERANTAKAN KRN DI DUKUNG OLEH ORG ISLAM MUNAFIQ & ISLAM NUSANTARA,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vYolPjGE95,jt ponsel,1 week ago,1559790896174,Ha ha ha ha ok egi sujsnavkyk kasino making lucu Ada aja ok gaaiiss.,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vYos2Qwx6f,jt ponsel,1 week ago,1559790896175,auk ah gelap ha ha ha ha tukan Ada moyet tmpil di Komen bwah gaaiiss.,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vqtufrQ0Uo,Supraini Sup,6 days ago,1559877296177,yang namanya pendukung pasti meng agungkan paslon pilihanya ...jngan mau dibodohi politik..,0
,,,,,,,,Ugz3Y3BrFP54kY3K6qp4AaABAg.8uQPXMPW7oa8vrrE6eggLj,Silent Dragon,5 days ago,1559963696179,najwa cantik,0
UgyimOxHi23n1VElPWd4AaABAg,vidi vini vici,1 hour ago,1560392094383,kubu prabowo 🐩🐒🐐,0,false,0,,,,,,
UgyBrgqZ0QsWhRlI0EN4AaABAg,Edhy Sudarjanto,12 hours ago,1560352494394,GK PILIH SATRIO BIADAB SESUAI RAMALAN JOYOBOYO WKWKWKWK NGEYEL,0,false,0,,,,,,
UgzVa_MdDsk3VDEmHPF4AaABAg,Indrah Martin,16 hours ago,1560338094396,Belum di umum kan yg menang dan yang kalah tpi bilang mereka menang. Waduh. Ini dia makan vitamin Z² yh... Bodohnya natural. . Gak tau malu,0,false,0,,,,,,
UgxODV4jIgnSr6U-esd4AaABAg,Lupus Sableng anjing km jngn menggonggkng,17 hours ago,1560334494398,sosote meja kok d marahi sosote,0,false,0,,,,,,
UgxvvpDNFg0jgNkWZL14AaABAg,Lupus Sableng anjing km jngn menggonggkng,17 hours ago,1560334494399,"mtanya egi tuh picek. prabowo nggebrak"" meja tuh marah EGI TUH BNER"" PICEK MATANYA,, BETUL KATA BANG ADIAN BROOOOOOOOOOO",0,false,0,,,,,,
Ugz9ihdkmSTvgvMQm1R4AaABAg,Lutfi Azis,20 hours ago,1560323694401,"Misalkan...

Saya = Kambing
Anda apa???
Kuda Nil???
Apa Gorila????",0,false,0,,,,,,
UgzO9mL87e0Dl7izDSt4AaABAg,bulz bulz,1 day ago,1560309294403,Kambing ndasmu woouwooo,0,false,0,,,,,,
UgxLUZNyKiL3av7snEh4AaABAg,I DK,1 day ago,1560309294405,Pemenang 02 ga ada yg pinter begok semua.pantes kalah,0,false,0,,,,,,
UgwOL0M9rh_TosdVugt4AaABAg,Cak Bas,1 day ago,1560309294406,WEDUSNYA KALAH,0,false,0,,,,,,
UgyTEeOuk2bsY87rj9B4AaABAg,Taufik Muhamad,1 day ago,1560309294408,UDAH KALAH YA TETEP AJA KALAH,0,false,0,,,,,,
Ugw5tIz-b3N3e3i1bbl4AaABAg,Rizqi Ramadhan,1 day ago,1560309294410,kayanya puyoono sama adian cocok kalo duet lawak politisi..,0,false,0,,,,,,
UgwqnFZ4BB5eElpLl1F4AaABAg,Dewi Woolan,1 day ago,1560309294411,Cangkeme puyuono ga mutu ga jelas kampreeett,0,false,0,,,,,,
UgxxbBoqLQ4MfOf1AGp4AaABAg,Siwo Carito,2 days ago,1560222894413,Pendukungnya jokowi 👍 good.adian napitupulu good.,0,false,0,,,,,,
UgyryNRFhVbjYYuGKqV4AaABAg,Malindo Indonesia,2 days ago,1560222894414,Sy rakyat gak mu kok kl persidenya pra bowo,0,false,0,,,,,,
Ugx0TnEdPeamsLEMAs14AaABAg,Andi Susanto,2 days ago,1560222894416,Jangan 2 kambingnya yang pidato,0,false,0,,,,,,
UgyHcsp9e2euLWIPVLV4AaABAg,Amanda Regina,2 days ago,1560222894418,Hahahaha,0,false,0,,,,,,
Ugz1utjooAH2vnRFRWN4AaABAg,Ria Bayu,2 days ago,1560222894420,"Oon,,,...",1,false,0,,,,,,
